0	1	58
0	2	158
0	3	246
0	4	253
0	5	276
0	6	301
0	7	344
0	8	292
0	9	277
0	10	258
0	11	241
0	12	167
0	13	115
0	14	59
0	15	102
0	16	172
0	17	198
0	18	231
0	19	198
0	20	181
0	21	132
1	2	99
1	3	187
1	4	197
1	5	226
1	6	257
1	7	308
1	8	267
1	9	260
1	10	249
1	11	249
1	12	180
1	13	132
1	14	84
1	15	75
1	16	122
1	17	157
1	18	199
1	19	177
1	20	170
1	21	116
2	3	87
2	4	108
2	5	155
2	6	197
2	7	262
2	8	249
2	9	258
2	10	264
2	11	288
2	12	235
2	13	200
2	14	170
2	15	113
2	16	74
2	17	123
2	18	175
2	19	182
2	20	195
2	21	148
3	4	61
3	5	124
3	6	174
3	7	245
3	8	262
3	9	283
3	10	301
3	11	341
3	12	300
3	13	274
3	14	253
3	15	187
3	16	113
3	17	150
3	18	195
3	19	222
3	20	247
3	21	212
4	5	62
4	6	112
4	7	183
4	8	205
4	9	230
4	10	252
4	11	300
4	12	270
4	13	254
4	14	245
4	15	172
4	16	89
4	17	106
4	18	143
4	19	180
4	20	209
4	21	186
5	6	49
5	7	120
5	8	152
5	9	182
5	10	211
5	11	269
5	12	254
5	13	250
5	14	255
5	15	181
5	16	104
5	17	89
5	18	104
5	19	152
5	20	186
5	21	179
6	7	70
6	8	115
6	9	151
6	10	186
6	11	250
6	12	249
6	13	256
6	14	271
6	15	200
6	16	135
6	17	103
6	18	91
6	19	143
6	20	180
6	21	188
7	8	86
7	9	126
7	10	168
7	11	237
7	12	257
7	13	278
7	14	305
7	15	241
7	16	193
7	17	150
7	18	114
7	19	159
7	20	192
7	21	218
8	9	40
8	10	82
8	11	151
8	12	178
8	13	207
8	14	244
8	15	193
8	16	175
8	17	125
8	18	74
8	19	93
8	20	119
8	21	159
9	10	42
9	11	111
9	12	146
9	13	181
9	14	225
9	15	184
9	16	185
9	17	137
9	18	88
9	19	83
9	20	97
9	21	146
10	11	69
10	12	110
10	13	153
10	14	202
10	15	174
10	16	194
10	17	151
10	18	109
10	19	81
10	20	78
10	21	132
11	12	73
11	13	126
11	14	182
11	15	182
11	16	228
11	17	194
11	18	164
11	19	120
11	20	94
11	21	141
12	13	52
12	14	108
12	15	122
12	16	187
12	17	167
12	18	157
12	19	105
12	20	68
12	21	88
13	14	56
13	15	87
13	16	166
13	17	160
13	18	167
13	19	118
13	20	87
13	21	70
14	15	74
14	16	157
14	17	168
14	18	191
14	19	150
14	20	127
14	21	87
15	16	84
15	17	97
15	18	129
15	19	102
15	20	96
15	21	42
16	17	49
16	18	101
16	19	113
16	20	133
16	21	99
17	18	51
17	19	73
17	20	103
17	21	90
18	19	52
18	20	88
18	21	104
19	20	36
19	21	65
20	21	54
